indice,esperado,previsto,acertou,y_A,y_B,y_C,y_D,y_E,y_F,y_G,y_H,y_I,y_J,y_K,y_L,y_M,y_N,y_O,y_P,y_Q,y_R,y_S,y_T,y_U,y_V,y_W,y_X,y_Y,y_Z
0,Z,Z,1,-0.999759,-0.999588,-0.999999,-1.000000,-0.999679,-0.999961,-1.000000,-0.999637,-1.000000,-0.999665,-1.000000,-1.000000,-1.000000,-0.999829,-1.000000,-0.999899,-1.000000,-0.999717,-0.999841,-1.000000,-1.000000,-0.999743,-0.999998,-1.000000,-1.000000,0.999932
1,K,L,0,-1.000000,-0.999997,-1.000000,-1.000000,-0.997346,-0.999992,-1.000000,-0.999998,-1.000000,-1.000000,-0.995388,0.997467,-1.000000,-0.999990,-1.000000,-0.999998,-1.000000,-0.999995,-0.999700,-1.000000,-0.999999,-0.999990,-1.000000,-1.000000,-1.000000,-1.000000
2,D,D,1,-0.999987,-0.999996,-1.000000,-0.977855,-1.000000,-0.999993,-1.000000,-0.999959,-1.000000,-0.999973,-1.000000,-1.000000,-0.999997,-0.999999,-1.000000,-0.999996,-0.999940,-0.999999,-1.000000,-1.000000,-1.000000,-0.999991,-1.000000,-1.000000,-1.000000,-1.000000
3,L,L,1,-1.000000,-0.999997,-1.000000,-1.000000,-0.997960,-0.999992,-1.000000,-0.999999,-1.000000,-1.000000,-0.994878,0.998482,-1.000000,-0.999989,-1.000000,-0.999998,-1.000000,-0.999996,-0.999687,-1.000000,-0.999999,-0.999990,-1.000000,-1.000000,-1.000000,-1.000000
4,X,K,0,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999997,-1.000000,-0.999989,-0.999949,-1.000000,-1.000000,-1.000000,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000,-0.999992,-1.000000,-0.999982,-0.999989,-0.999959,-1.000000,-1.000000
5,Y,Y,1,-0.998644,-0.999971,-1.000000,-1.000000,-0.999997,-0.999999,-0.999987,-0.999983,-1.000000,-0.999999,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-0.999998,-1.000000,-0.999905,-0.999997,-1.000000,-1.000000,-0.999884,-1.000000,-1.000000,0.995589,-1.000000
6,C,C,1,-0.999501,-0.999960,0.999998,-1.000000,-0.998807,-0.999968,-1.000000,-0.999996,-1.000000,-0.999981,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-0.999968,-1.000000,-0.999712,-0.999995,-1.000000,-1.000000,-0.999833,-1.000000,-1.000000,-0.999830,-1.000000
7,O,D,0,-0.999973,-0.999959,-1.000000,-0.901283,-1.000000,-0.999994,-0.999992,-0.999975,-1.000000,-0.999997,-1.000000,-1.000000,-1.000000,-0.999997,-1.000000,-0.999998,-1.000000,-0.999996,-0.999999,-1.000000,-1.000000,-0.999994,-0.999877,-1.000000,-1.000000,-1.000000
8,A,W,0,-0.999999,-0.999995,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999958,-1.000000,-0.999839,-1.000000,-1.000000,-0.999999,-0.999999,-1.000000,-0.999991,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999984,-0.996325,-1.000000,-1.000000,-0.999999
9,H,W,0,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-0.999999,-1.000000,-1.000000,-0.999525,-0.999997,-1.000000,-0.999999,-1.000000,-1.000000,-0.999999,-1.000000,-0.999004,-0.999999,-0.971104,-1.000000,-1.000000,-1.000000
10,F,E,0,-0.999941,-0.999998,-0.999999,-1.000000,-0.898958,-1.000000,-0.999952,-0.999999,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-1.000000,-1.000000,-0.999994,-1.000000,-1.000000,-0.999966,-1.000000
11,Y,Y,1,-0.998644,-0.999971,-1.000000,-1.000000,-0.999997,-0.999999,-0.999987,-0.999983,-1.000000,-0.999999,-1.000000,-1.000000,-0.999998,-1.000000,-1.000000,-0.999998,-1.000000,-0.999905,-0.999997,-1.000000,-1.000000,-0.999884,-1.000000,-1.000000,0.995589,-1.000000
12,S,E,0,-0.999941,-0.999998,-0.999999,-1.000000,-0.898958,-1.000000,-0.999952,-0.999999,-1.000000,-0.999999,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999996,-1.000000,-1.000000,-1.000000,-0.999994,-1.000000,-1.000000,-0.999966,-1.000000
13,P,W,0,-0.999994,-0.999998,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999994,-1.000000,-0.999999,-1.000000,-0.999999,-1.000000,-0.999993,-1.000000,-0.999999,-1.000000,-1.000000,-0.999946,-1.000000,-0.999964,-0.999999,-0.999888,-1.000000,-1.000000,-1.000000
14,G,C,0,-0.999983,-0.999992,0.872764,-1.000000,-1.000000,-1.000000,-0.999986,-0.999998,-1.000000,-0.999979,-1.000000,-1.000000,-0.999997,-1.000000,-1.000000,-0.999992,-0.999860,-0.999998,-1.000000,-1.000000,-0.999999,-0.999968,-1.000000,-1.000000,-1.000000,-1.000000
15,Q,Q,1,-0.999796,-0.999723,-1.000000,-1.000000,-1.000000,-0.999976,-1.000000,-0.999743,-1.000000,-0.999396,-1.000000,-1.000000,-0.999998,-0.999626,-1.000000,-0.995783,1.000000,-0.999984,-0.999580,-1.000000,-0.873939,-0.999195,-0.999999,-1.000000,-1.000000,-1.000000
16,L,L,1,-1.000000,-0.999997,-1.000000,-1.000000,-0.997960,-0.999992,-1.000000,-0.999999,-1.000000,-1.000000,-0.994878,0.998482,-1.000000,-0.999989,-1.000000,-0.999998,-1.000000,-0.999996,-0.999687,-1.000000,-0.999999,-0.999990,-1.000000,-1.000000,-1.000000,-1.000000
17,Q,C,0,-0.993021,-0.999942,-0.965143,-1.000000,-1.000000,-0.999995,-1.000000,-0.999976,-1.000000,-0.999770,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.999975,-1.000000,-0.999912,-0.999996,-1.000000,-0.999999,-0.999951,-1.000000,-1.000000,-1.000000,-1.000000
18,Z,Z,1,-0.999759,-0.999587,-0.999999,-1.000000,-0.999678,-0.999961,-1.000000,-0.999637,-1.000000,-0.999665,-1.000000,-1.000000,-1.000000,-0.999829,-1.000000,-0.999899,-1.000000,-0.999717,-0.999841,-1.000000,-1.000000,-0.999743,-0.999998,-1.000000,-1.000000,0.999933
