indice,esperado,previsto,acertou,y_A,y_B,y_C,y_D,y_E,y_F,y_G,y_H,y_I,y_J,y_K,y_L,y_M,y_N,y_O,y_P,y_Q,y_R,y_S,y_T,y_U,y_V,y_W,y_X,y_Y,y_Z
0,Z,Z,1,-0.961823,-1.000000,-0.999928,-0.999909,-0.999836,-0.999945,-0.999853,-1.000000,-1.000000,-0.980984,-0.999982,-0.999944,-1.000000,-0.997746,-0.999504,-0.999995,-0.999994,-0.998917,-0.995479,-0.989804,-1.000000,-1.000000,-0.999992,-0.997949,-1.000000,0.999337
1,K,X,0,-1.000000,-1.000000,-0.999989,-0.999852,-0.995099,-0.999377,-0.999933,-1.000000,-1.000000,-1.000000,-0.999987,-0.999791,-1.000000,-0.999740,-0.999714,-1.000000,-0.999984,-1.000000,-0.990238,-1.000000,-0.999999,-0.990304,-0.999975,-0.829935,-0.998616,-0.999999
2,D,Q,0,-1.000000,-1.000000,-0.999990,-1.000000,-1.000000,-1.000000,-0.999993,-1.000000,-1.000000,-1.000000,-0.999973,-0.999994,-0.999965,-0.999974,-0.999837,-1.000000,0.872229,-1.000000,-0.999504,-1.000000,-0.946981,-0.999279,-0.993143,-1.000000,-1.000000,-1.000000
3,L,L,1,-0.999979,-0.994361,-0.944451,-0.999866,-0.998669,-0.999816,-0.999965,-1.000000,-0.999999,-1.000000,-0.999994,0.468234,-1.000000,-0.999898,-0.999972,-1.000000,-1.000000,-0.999998,-0.999207,-1.000000,-0.931635,-1.000000,-0.998146,-1.000000,-1.000000,-0.999998
4,X,A,0,0.903681,-0.999939,-0.998838,-0.999999,-0.999989,-0.999999,-0.999998,-1.000000,-1.000000,-1.000000,-0.999999,-0.999871,-1.000000,-0.999958,-0.999996,-1.000000,-0.999997,-0.858879,-0.999976,-1.000000,-1.000000,-1.000000,-0.991663,-1.000000,-1.000000,-0.998535
5,Y,Y,1,-1.000000,-1.000000,-1.000000,-0.999871,-1.000000,-1.000000,-0.999368,-1.000000,-0.990873,-0.999960,-0.999686,-1.000000,-0.999999,-0.999854,-0.997153,-1.000000,-0.998156,-1.000000,-0.995344,-0.999999,-0.999970,-0.994039,-0.999994,-1.000000,0.941423,-1.000000
6,C,C,1,-0.980528,-0.999994,-0.915081,-0.999996,-0.997930,-0.999889,-0.999995,-1.000000,-1.000000,-1.000000,-0.999998,-0.916603,-1.000000,-0.999787,-0.999995,-1.000000,-0.999954,-0.996873,-0.999376,-1.000000,-1.000000,-1.000000,-0.996368,-1.000000,-1.000000,-0.999998
7,O,R,0,-1.000000,-0.997936,-0.999817,-0.999998,-1.000000,-1.000000,-0.999978,-1.000000,-1.000000,-0.999999,-0.999950,-0.999926,-0.998919,-0.999191,-0.999997,-0.999999,-0.999986,-0.752644,-0.999570,-1.000000,-1.000000,-1.000000,-0.999648,-1.000000,-1.000000,-1.000000
8,A,A,1,0.903684,-0.999939,-0.998838,-0.999999,-0.999989,-0.999999,-0.999998,-1.000000,-1.000000,-1.000000,-0.999999,-0.999871,-1.000000,-0.999958,-0.999996,-1.000000,-0.999997,-0.858873,-0.999976,-1.000000,-1.000000,-1.000000,-0.991663,-1.000000,-1.000000,-0.998534
9,H,H,1,-1.000000,-0.996642,-0.999965,-0.999650,-1.000000,-1.000000,-0.999998,0.973842,-1.000000,-1.000000,-0.999998,-0.999433,-0.999971,-0.999888,-0.999991,-0.999999,-1.000000,-0.999999,-0.999914,-1.000000,-0.968039,-0.999999,-0.997904,-1.000000,-1.000000,-1.000000
10,F,E,0,-0.999984,-1.000000,-0.998297,-0.999812,-0.515038,-0.811302,-0.999470,-1.000000,-0.999900,-0.998787,-0.999971,-0.941142,-1.000000,-0.998656,-0.999935,-0.999797,-1.000000,-1.000000,-0.974495,-1.000000,-1.000000,-0.999999,-0.999995,-0.999999,-1.000000,-0.953588
