indice,esperado,previsto,acertou,y_A,y_B,y_C,y_D,y_E,y_F,y_G,y_H,y_I,y_J,y_K,y_L,y_M,y_N,y_O,y_P,y_Q,y_R,y_S,y_T,y_U,y_V,y_W,y_X,y_Y,y_Z
0,Z,V,0,-0.999966,-0.999708,-0.999670,-0.995305,-0.999963,-0.999976,-0.999998,-0.999778,-0.999927,-0.999968,-0.999818,-0.999419,-1.000000,-0.999998,-0.999995,-0.999911,-0.999999,-0.998964,-1.000000,-0.999824,-0.999945,-0.992736,-1.000000,-0.999920,-0.999654,-0.999602
1,K,W,0,-0.999999,-1.000000,-1.000000,-0.999977,-1.000000,-1.000000,-0.999997,-0.999993,-0.999974,-0.999991,-0.999961,-0.999988,-0.998311,-0.999655,-0.999998,-0.999998,-1.000000,-0.999961,-0.999974,-0.999965,-0.999999,-1.000000,-0.993931,-0.999978,-0.999980,-0.999984
2,D,M,0,-0.999984,-0.997429,-0.999798,-0.999850,-1.000000,-0.999993,-0.999981,-0.999345,-0.999992,-0.997966,-0.999730,-0.998324,-0.989468,-0.990299,-0.999992,-0.995297,-0.991427,-0.999976,-0.999960,-0.989728,-0.999897,-0.995827,-0.998547,-0.998787,-0.999974,-0.997501
3,L,W,0,-0.999999,-0.999972,-0.999999,-0.999977,-0.999998,-1.000000,-1.000000,-0.999998,-0.999957,-1.000000,-0.999999,-0.999926,-1.000000,-0.999995,-0.999960,-0.999999,-1.000000,-0.999997,-0.999999,-0.999997,-0.999998,-0.999997,-0.983258,-0.999996,-0.999842,-0.999972
4,X,X,1,-1.000000,-0.999991,-0.999992,-0.999972,-1.000000,-1.000000,-0.999989,-0.999980,-0.999996,-0.999986,-0.999964,-0.999790,-0.999998,-0.999997,-0.999999,-0.999956,-0.999977,-0.999991,-0.999999,-0.999967,-0.999988,-0.999795,-0.999958,-0.999732,-0.999863,-0.999952
5,Y,Y,1,-0.999997,-0.999932,-0.999968,-0.999748,-0.999999,-0.999999,-0.999998,-0.999959,-0.999910,-0.999993,-0.999993,-0.999920,-1.000000,-0.999997,-0.999960,-0.999987,-0.999999,-0.999967,-1.000000,-0.999967,-0.999991,-0.999696,-0.999898,-0.999976,-0.998810,-0.999797
6,C,W,0,-0.999975,-0.999973,-0.999993,-0.999960,-0.999978,-1.000000,-0.999976,-0.999992,-0.999856,-0.999984,-0.999999,-0.999934,-0.999998,-1.000000,-0.999918,-0.999997,-0.999999,-0.999928,-1.000000,-1.000000,-0.999989,-0.999973,-0.970772,-0.999880,-0.999888,-0.999803
7,O,D,0,-0.999949,-0.999903,-0.999935,-0.995688,-0.999908,-0.999990,-0.999998,-0.999852,-0.999705,-1.000000,-1.000000,-0.999996,-0.999996,-0.999996,-0.999869,-0.999998,-0.999985,-0.999991,-0.999998,-1.000000,-0.999861,-0.999638,-0.999954,-1.000000,-0.998398,-0.999737
8,A,Y,0,-0.999994,-0.997586,-0.999947,-0.999918,-0.999992,-1.000000,-0.999955,-0.999891,-0.998702,-0.999476,-0.999980,-0.999592,-0.999999,-0.999998,-0.999904,-0.999590,-0.999789,-0.999949,-1.000000,-0.999988,-0.999295,-0.998780,-0.999242,-0.998664,-0.997006,-0.999837
9,H,W,0,-1.000000,-0.999999,-1.000000,-0.999998,-1.000000,-1.000000,-0.999999,-1.000000,-0.999998,-1.000000,-0.999998,-0.999908,-0.999993,-0.999994,-0.999999,-0.999999,-1.000000,-0.999999,-0.999983,-0.999999,-0.999999,-0.999999,-0.975378,-0.999978,-0.999992,-0.999994
10,F,W,0,-0.999987,-0.999993,-0.999987,-0.999853,-0.999995,-0.999999,-0.999997,-0.999993,-0.999972,-0.999999,-0.999999,-0.999971,-1.000000,-1.000000,-0.999943,-0.999999,-1.000000,-0.999949,-1.000000,-0.999999,-0.999999,-0.999964,-0.997465,-0.999992,-0.999880,-0.999728
11,Y,Y,1,-0.999993,-0.999851,-0.999956,-0.999663,-0.999998,-0.999999,-0.999998,-0.999936,-0.999898,-0.999995,-0.999991,-0.999813,-1.000000,-0.999996,-0.999975,-0.999978,-0.999998,-0.999961,-1.000000,-0.999964,-0.999981,-0.999173,-0.999979,-0.999976,-0.998113,-0.999687
